phi_deg;plano_z;Line_A_y;Line_B_z;Line_C;YB;ZB;KN;SZ;S;Volumen_Calculado;Volumen_Error_%;GZ_5.0;GZ_lin_5.0;Error_Lin_5.0_%;GZ_5.15;GZ_lin_5.15;Error_Lin_5.15_%;GZ_5.3;GZ_lin_5.3;Error_Lin_5.3_%
0,0;4,699999670677884;0,0;1,0;-4,699999670677884;2,3415441323720928e-18;2,884640468299585;2,3415441323720928e-18;2,3415441323720928e-18;1092,4186242747992;2281,743999999787;9,347083089327798e-12;2,3415441323720928e-18;0,0;0,0;2,3415441323720928e-18;0,0;0,0;2,3415441323720928e-18;0,0;0,0
0,5;4,69970300631392;0,008726535498373935;0,9999619230641713;-4,69970300631392;-0,043554995413117;2,8848305073047324;0,06872791280113846;0,01636869981089485;1092,1719781557308;2281,743999999747;1,1100906781994848e-11;0,025095235309268785;0,02509729927978913;0,008224551373632245;0,023786254984512693;0,02378830234079338;0,008607308220735452;0,02247727465975661;0,022479305401797635;0,009034645310722577
1,0;4,6988121194528825;0,01745240643728351;0,9998476951563913;-4,6988121194528825;-0,08710063992943673;2,8854005516992784;0,13744455724271193;0,03273011861901086;1091,9427401776784;2281,743999999781;9,606170680289975e-12;0,05018252505629437;0,05019459855957826;0,02405917850953924;0,04756466409070184;0,04757660468158676;0,025103910882561108;0,04494680312510932;0,04495861080359527;0,026270341080952744
1,5;4,697339798892869;0,026176948307873153;0,9996573249755573;-4,697339798892869;-0,13064677024221355;2,886350741173377;0,2061578550071143;0,04909616515987539;1091,8409135220368;2281,7439999998096;8,350592354857883e-12;0,07527311346774854;0,07529189783936739;0,024954955034380156;0,07134657122156755;0,07136490702238014;0,02569962438089574;0,0674200289753866;0,06743791620539291;0,026531032807541433
2,0;4,695289087296817;0,03489949670250097;0,9993908270190958;-4,695289087296817;-0,17418699162784787;2,8876810072905994;0,2748594954107361;0,06546251519573032;1091,744925290638;2281,7439999998214;7,832417172933527e-12;0,1003620118982313;0,10038919711915652;0,027087162175253948;0,09512708739285614;0,09515320936317352;0,02746007581364008;0,089892162887481;0,08991722160719054;0,027876423154822416
2,5;4,692656792099153;0,043619387365336;0,9990482215818578;-4,692656792099153;-0,2177029504986596;2,8893907475422105;0,34352919979567054;0,08181287560365452;1091,5985506574787;2281,744000000159;6,9555053266000034e-12;0,12543226296899052;0,12548649639894563;0,04323722515356482;0,11888935486419011;0,11894151170396688;0,04387006711942666;0,11234644675938973;0,11239652700898818;0,044576620839378175
3,0;4,6894462126578516;0,052335956242943835;0,9986295347545738;-4,6894462126578516;-0,2611915230758593;2,891479641972801;0,41216192119073536;0,09814618373307238;1091,3413246555808;2281,7439999998305;7,433820879145563e-12;0,15048213997601623;0,15058379567873478;0,06755333405994751;0,1426317465395746;0,1427298140447603;0,06875573465579662;0,13478135310313308;0,13487583241078582;0,07009820385201995
3,5;4,685656802394515;0,06104853953485687;0,9981347984218669;-4,685656802394515;-0,30463816921429476;2,893946700158323;0,48074117715670067;0,11444993994755942;1091,017765651719;2281,7439999998387;7,075084214736393e-12;0,1754984794824163;0,1756810949585239;0,10405530386713088;0,16634119855218774;0,16651811638555367;0,10635839762235717;0,15718391762195924;0,15735513781258345;0,10892984041535965
4,0;4,681289120189234;0,0697564737441253;0,9975640502598242;-4,681289120189234;-0,3480335727248053;2,8967909679227932;0,5492557035298795;0,1307168610651277;1090,8258215321612;2281,743999999787;9,347083089327798e-12;0,200473334809253;0,20077839423831303;0,1521695787373881;0,19000986374763418;0,19030641872634704;0,15607346527375088;0,1795463926860154;0,17983444321438108;0,16043236739899397
4,5;4,676339826699557;0,07845909572784494;0,996917333733128;-4,676339826699557;-0,3913772258610502;2,90001193558669;0,6177030545553555;0,14694848018828577;1090,5312814762;2281,7439999997905;9,18764457181261e-12;0,2254075759161307;0,22587569351810216;0,20767607302854774;0,21363871155695394;0,2140947210671404;0,21344891422680592;0,20186984719777723;0,20231374861617873;0,21989486025944355
